股票代码,股票简称,最新价,最新涨跌幅,最低价:不复权[20250310],下影线[20250307],{(}最低价:不复权[20250310]{-}下影线[20250307]{)},60日横盘(条件说明)[20250310],买入信号inter[20250310],技术形态[20250310],开盘价:不复权[20250310],最高价:不复权[20250310],收盘价:不复权[20250310],买入信号inter[20250307],技术形态[20250307],market_code,code,原始股票代码,转换后股票代码,股票名称,MACD信号,KDJ信号,RSI信号,BOLL信号,DMI信号,综合评分,评测结果,备注,主力持仓成本,平均成本
002884.SZ,凌霄泵业,17.35,0.115406809,17.25,0.464,16.786,横盘,wr超卖||skdj超卖||kdj超卖,阳线||缩量||价升量缩,17.33,17.44,17.35,wr超卖||skdj超卖||月线bias买入信号,放量||价跌量缩||阴线,33,002884,002884,002884.SZ,凌霄泵业,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
601168.SH,西部矿业,17.2,1.295641932,16.84,0.060,16.78,横盘,周线boll突破中轨||周线skdj金叉,阳线||缩量||价升量缩,16.99,17.24,17.2,macd金叉||dmi金叉||周线rsi金叉,阳线||放量||价升量缩,17,601168,601168,601168.SS,西部矿业,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
688334.SH,西高院,17.43,0.519031142,17.31,0.814,16.496,横盘,月线skdj金叉||月线kdj金叉,阳线||缩量||价升量缩,17.36,17.6,17.43,cr金叉||周线cci买入信号||月线skdj金叉,缩量||阴线||高位收阴,17,688334,688334,688334.SS,西高院,看涨,看跌,中性,中性,看涨,2,建议观望或卖出,,暂无数据,暂无数据
603515.SH,欧普照明,16.89,-0.471420153,16.86,0.414,16.445999999999998,横盘,月线rsi金叉||月线macd红二波,缩量||价跌量缩||回调缩量,17.01,17.1,16.89,周线boll突破中轨||周线rsi金叉||月线rsi金叉,缩量||价跌量缩||回调缩量,17,603515,603515,603515.SS,欧普照明,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
605005.SH,合兴股份,16.82,0.238379023,16.72,0.421,16.299,横盘,cr金叉||cci买入信号||macd红二波,阳线||缩量||价升量缩,16.82,16.94,16.82,月线dmi金叉||月线skdj金叉||周线roc买入信号,阳线||缩量||价升量缩,17,605005,605005,605005.SS,合兴股份,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
300498.SZ,温氏股份,16.46,0.365853659,16.46,0.802,15.658000000000001,横盘,skdj金叉||kdj金叉||cci买入信号,缩量||价升量缩||阴线,16.66,16.68,16.47,行情收盘价上穿5日||cr金叉||rsi金叉,价升量涨||阳线||缩量,33,300498,300498,300498.SZ,温氏股份,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
601838.SH,成都银行,16.31,-0.427350427,16.23,0.676,15.554,横盘,月线rsi金叉,缩量||价跌量缩||回调缩量,16.4,16.4,16.31,周线boll突破中轨||月线rsi金叉||周线dmi金叉,缩量||价跌量缩||回调缩量,17,601838,601838,601838.SS,成都银行,看涨,看跌,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
600346.SH,恒力石化,15.71,-0.190597205,15.62,0.127,15.492999999999999,横盘,月线cci买入信号,缩量||价跌量缩||回调缩量,15.7,15.84,15.71,月线cci买入信号,缩量||价跌量缩||回调缩量,17,600346,600346,600346.SS,恒力石化,看涨,看跌,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
601163.SH,三角轮胎,15.29,0.592105263,15.2,0.266,14.934,横盘,周线roc买入信号||周线mtm金叉||周线dma金叉,阳线||缩量||价升量缩,15.2,15.32,15.29,skdj金叉||cci买入信号||macd金叉,价升量涨||阳线||放量,17,601163,601163,601163.SS,三角轮胎,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
000960.SZ,锡业股份,15.36,2.673796791,15.01,0.209,14.801,横盘,boll突破上轨||周线skdj金叉||月线rsi金叉,阳线||放量||价升量缩,15.17,15.37,15.36,cr金叉||boll突破中轨||cci买入信号,价升量涨||阳线||放量,33,000960,000960,000960.SZ,锡业股份,看涨,看涨,中性,看涨,看涨,4,建议买入,,暂无数据,暂无数据
600535.SH,天士力,15.16,1.813297515,15.16,0.405,14.755,横盘,mtm金叉||行情收盘价上穿5日||boll突破中轨,价升量涨||放量||阴线,15.31,15.5,15.16,周线boll突破中轨||周线rsi金叉||月线rsi金叉,缩量||价跌量缩||回调缩量,17,600535,600535,600535.SS,天士力,看跌,看涨,中性,中性,看涨,2,建议观望或卖出,,暂无数据,暂无数据
601089.SH,福元医药,15.13,0.265076209,15.12,0.600,14.52,横盘,行情收盘价上穿5日||skdj金叉||rsi金叉,阳线||缩量||价升量缩,15.13,15.35,15.13,月线dmi金叉||周线skdj金叉||周线skdj底背离,缩量||价跌量缩||回调缩量,17,601089,601089,601089.SS,福元医药,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
600926.SH,杭州银行,14.67,-0.609756098,14.6,0.205,14.395,横盘,dma金叉||周线skdj金叉,缩量||价跌量缩||回调缩量,14.73,14.73,14.67,cr金叉||cci买入信号||周线rsi金叉,价升量涨||阳线||放量,17,600926,600926,600926.SS,杭州银行,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
600377.SH,宁沪高速,14.59,-0.74829932,14.51,0.205,14.305,横盘,wr超卖||roc买入信号,缩量||价跌量缩||回调缩量,14.58,14.73,14.59,,缩量||价跌量缩||回调缩量,17,600377,600377,600377.SS,宁沪高速,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
603056.SH,德邦股份,14.55,0.344827586,14.37,0.210,14.159999999999998,横盘,macd金叉||月线dmi金叉||周线skdj金叉,阳线||缩量||价升量缩,14.5,14.58,14.54,mtm金叉||cr金叉||boll突破中轨,价升量涨||阳线||放量,17,603056,603056,603056.SS,德邦股份,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600598.SH,北大荒,13.84,-0.431654676,13.83,0.506,13.324,横盘,周线mtm金叉,缩量||价跌量缩||回调缩量,13.99,14.03,13.83,wr超卖,缩量||价跌量缩||回调缩量,17,600598,600598,600598.SS,北大荒,看跌,看跌,中性,中性,看涨,1,建议观望或卖出,,暂无数据,暂无数据
600233.SH,圆通速递,13.49,-1.244509517,13.48,0.294,13.186,横盘,wr超卖||月线bias买入信号||月线wr超卖,缩量||价跌量缩||回调缩量,13.62,13.68,13.5,月线bias买入信号||月线wr超卖,放量||价跌量缩||阴线,17,600233,600233,600233.SS,圆通速递,看涨,看跌,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
002078.SZ,太阳纸业,14.44,-0.687757909,14.24,1.198,13.042,横盘,月线skdj金叉||周线macd金叉||周线macd底背离,缩量||价跌量缩||回调缩量,14.54,14.55,14.44,周线dmi金叉||月线skdj金叉||周线roc买入信号,价升量涨||阳线||放量,33,002078,002078,002078.SZ,太阳纸业,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
002749.SZ,国光股份,13.16,-0.378501136,13.15,0.380,12.77,横盘,月线skdj金叉||月线kdj金叉,缩量||价跌量缩||回调缩量,13.19,13.26,13.16,dma金叉||月线skdj金叉||月线kdj金叉,缩量||回调缩量||阴线,33,002749,002749,002749.SZ,国光股份,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
002056.SZ,横店东磁,13.35,0.37593985,13.28,0.606,12.674,横盘,月线rsi金叉||周线roc买入信号||月线macd金叉,阳线||缩量||价升量缩,13.31,13.45,13.35,cr金叉||周线rsi金叉||月线rsi金叉,阳线||放量||价升量缩,33,002056,002056,002056.SZ,横店东磁,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
601677.SH,明泰铝业,12.79,-0.46692607,12.74,0.314,12.426,横盘,周线boll突破中轨||周线rsi金叉||周线cci买入信号,缩量||价跌量缩||回调缩量,12.92,12.99,12.78,周线boll突破中轨||周线rsi金叉||周线cci买入信号,阳线||放量||价升量缩,17,601677,601677,601677.SS,明泰铝业,看涨,看跌,中性,中性,看涨,2,建议观望或卖出,,暂无数据,暂无数据
600801.SH,华新水泥,12.57,0.56,12.41,0.081,12.329,横盘,boll突破上轨||月线dmi金叉||月线rsi金叉,阳线||缩量||价升量缩,12.52,12.63,12.57,月线dmi金叉||周线rsi金叉||周线dmi金叉,价升量涨||阳线||放量,17,600801,600801,600801.SS,华新水泥,看涨,看涨,中性,看涨,看涨,4,建议买入,,暂无数据,暂无数据
600388.SH,龙净环保,12.76,0.393391031,12.61,0.316,12.293999999999999,横盘,月线skdj金叉||周线macd金叉,缩量||价升量缩||阴线,12.77,12.82,12.76,月线skdj金叉,缩量||价跌量缩||回调缩量,17,600388,600388,600388.SS,龙净环保,看涨,看跌,中性,中性,看涨,2,建议观望或卖出,,暂无数据,暂无数据
600089.SH,特变电工,12.16,-0.572363042,12.15,0.164,11.986,横盘,月线bias买入信号||月线wr超卖,缩量||价跌量缩||回调缩量,12.23,12.3,12.16,月线bias买入信号||周线rsi金叉||月线wr超卖,缩量||价跌量缩||回调缩量,17,600089,600089,600089.SS,特变电工,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
603639.SH,海利尔,12.28,0.408830744,12.18,0.328,11.852,横盘,rsi金叉||macd金叉||周线wr超卖,阳线||缩量||价升量缩,12.25,12.31,12.28,dmi金叉||周线wr超卖||周线psy超卖,缩量||价跌量缩||回调缩量,17,603639,603639,603639.SS,海利尔,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
601233.SH,桐昆股份,12.2,-0.81300813,12.19,0.411,11.779,横盘,wr超卖,阳线||缩量||价跌量缩,12.25,12.37,12.19,wr超卖,阳线||缩量||价跌量缩,17,601233,601233,601233.SS,桐昆股份,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
000830.SZ,鲁西化工,11.73,-0.085178876,11.69,0.087,11.603,横盘,dmi金叉||周线roc买入信号||周线mtm金叉,缩量||阴线||威力雷达,11.75,11.82,11.73,行情收盘价上穿5日||boll突破中轨||rsi金叉,价升量涨||阳线||放量,33,000830,000830,000830.SZ,鲁西化工,看跌,看涨,中性,中性,看涨,2,建议观望或卖出,,暂无数据,暂无数据
000001.SZ,平安银行,11.56,-0.942587832,11.55,0.259,11.291,横盘,mtm金叉||周线boll突破中轨||周线rsi金叉,缩量||价跌量缩||回调缩量,11.66,11.67,11.56,mtm金叉||周线boll突破中轨||周线rsi金叉,阳线||缩量||价升量缩,33,000001,000001,000001.SZ,平安银行,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
603599.SH,广信股份,11.32,0.53285968,11.2,0.357,10.843,横盘,行情收盘价上穿5日||rsi金叉||dmi金叉,阳线||缩量||价升量缩,11.26,11.42,11.32,wr超卖||周线wr超卖,缩量||阴线||平台整理,17,603599,603599,603599.SS,广信股份,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
600573.SH,惠泉啤酒,10.89,0.368663594,10.79,0.094,10.696,横盘,月线dmi金叉,阳线||缩量||价升量缩,10.84,10.89,10.89,cr金叉||月线dmi金叉||周线skdj金叉,价升量涨||阳线||缩量,17,600573,600573,600573.SS,惠泉啤酒,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
601958.SH,金钼股份,10.63,2.211538462,10.44,0.197,10.243,横盘,周线boll突破中轨||周线skdj金叉||周线roc买入信号,阳线||放量||价升量缩,10.5,10.68,10.63,boll突破中轨||roc买入信号||cci买入信号,价升量涨||阳线||放量,17,601958,601958,601958.SS,金钼股份,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
605368.SH,蓝天燃气,10.36,0.193423598,10.34,0.194,10.145999999999999,横盘,rsi金叉||月线bias买入信号||周线wr超卖,阳线||缩量||价升量缩,10.35,10.43,10.36,wr超卖||月线bias买入信号||周线wr超卖,缩量||回调缩量||阴线,17,605368,605368,605368.SS,蓝天燃气,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
002014.SZ,永新股份,10.4,0.289296046,10.33,0.486,9.844,横盘,cci买入信号||周线roc买入信号||周线mtm金叉,阳线||缩量||价升量缩,10.39,10.42,10.4,cr金叉||dma金叉||周线boll突破中轨,阳线||缩量||价升量缩,33,002014,002014,002014.SZ,永新股份,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
002461.SZ,珠江啤酒,9.91,1.12244898,9.7,0.208,9.491999999999999,横盘,cci买入信号||周线cci买入信号||月线skdj金叉,阳线||缩量||价升量缩,9.79,9.92,9.91,月线skdj金叉||周线cr金叉,阳线||缩量||价升量缩,33,002461,002461,002461.SZ,珠江啤酒,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600350.SH,山东高速,9.79,0,9.7,0.410,9.29,横盘,wr超卖||psy超卖,缩量||价平量缩||平台整理,9.79,9.83,9.79,wr超卖||psy超卖,缩量||价跌量缩||回调缩量,17,600350,600350,600350.SS,山东高速,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
