股票代码,股票简称,最新价,最新涨跌幅,最低价:不复权[20250310],下影线[20250307],{(}最低价:不复权[20250310]{-}下影线[20250307]{)},60日横盘(条件说明)[20250310],买入信号inter[20250310],技术形态[20250310],开盘价:不复权[20250310],最高价:不复权[20250310],收盘价:不复权[20250310],买入信号inter[20250307],技术形态[20250307],market_code,code,原始股票代码,转换后股票代码,股票名称,MACD信号,KDJ信号,RSI信号,BOLL信号,DMI信号,综合评分,评测结果,备注,主力持仓成本,平均成本
000089.SZ,深圳机场,6.64,-1.19047619,6.63,0.149,6.481,横盘,wr超卖||周线mtm金叉,缩量||价跌量缩||回调缩量,6.72,6.74,6.64,dmi金叉,缩量||价跌量缩||回调缩量,33,000089,000089,000089.SZ,深圳机场,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600956.SH,新天绿能,7.13,-0.83449235,7.13,0.703,6.427,横盘,wr超卖||psy超卖||月线bias买入信号,缩量||价跌量缩||回调缩量,7.18,7.2,7.13,psy超卖||月线bias买入信号,阳线||放量||下降通道,17,600956,600956,600956.SS,新天绿能,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
600116.SH,三峡水利,6.71,-0.29717682,6.71,0.299,6.411,横盘,macd金叉||周线mtm金叉||月线mtm金叉,缩量||价跌量缩||回调缩量,6.72,6.74,6.71,mtm金叉||行情收盘价上穿5日||rsi金叉,价升量涨||阳线||缩量,17,600116,600116,600116.SS,三峡水利,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
601222.SH,林洋能源,6.55,-0.304414003,6.54,0.152,6.388,横盘,wr超卖||skdj超卖||周线mtm金叉,缩量||价跌量缩||回调缩量,6.58,6.6,6.55,wr超卖||skdj超卖,放量||价跌量缩||阴线,17,601222,601222,601222.SS,林洋能源,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
601006.SH,大秦铁路,6.51,0,6.48,0.154,6.3260000000000005,横盘,wr超卖||skdj超卖||kdj超卖,缩量||价跌量缩||回调缩量,6.5,6.53,6.5,wr超卖||skdj超卖||kdj超卖,缩量||价跌量缩||回调缩量,17,601006,601006,601006.SS,大秦铁路,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
600987.SH,航民股份,6.82,-0.292397661,6.81,0.588,6.2219999999999995,横盘,cr金叉||dmi金叉||月线dmi金叉,阳线||缩量||价跌量缩,6.82,6.86,6.82,月线dmi金叉||周线skdj金叉,缩量||价跌量缩||回调缩量,17,600987,600987,600987.SS,航民股份,看涨,看涨,中性,中性,中性,2,建议观望或卖出,,暂无数据,暂无数据
601998.SH,中信银行,6.98,-0.285714286,6.9,0.730,6.17,横盘,mtm金叉||月线cci买入信号||月线rsi金叉,阳线||缩量||价跌量缩,6.95,7,6.98,月线cci买入信号||月线rsi金叉||周线roc买入信号,阳线||缩量||价升量缩,17,601998,601998,601998.SS,中信银行,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
000027.SZ,深圳能源,6.16,-0.323624595,6.15,0.325,5.825,横盘,wr超卖||roc买入信号||月线bias买入信号,缩量||价跌量缩||回调缩量,6.19,6.21,6.16,wr超卖||mtm金叉||月线bias买入信号,缩量||价跌量缩||回调缩量,33,000027,000027,000027.SZ,深圳能源,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
000703.SZ,恒逸石化,6.11,-0.972447326,6.11,0.327,5.783,横盘,cci买入信号||月线bias买入信号||周线vr买入信号,放量||阴线||长上影线,6.16,6.43,6.11,skdj金叉||macd金叉||dma金叉,阳线||缩量||红二兵,33,000703,000703,000703.SZ,恒逸石化,看涨,看涨,中性,中性,看涨,3,建议买入,,暂无数据,暂无数据
600057.SH,厦门象屿,5.93,1.54109589,5.82,0.172,5.648000000000001,横盘,mtm金叉||行情收盘价上穿5日||skdj金叉,阳线||缩量||价升量缩,5.85,5.94,5.94,wr超卖||周线wr超卖,缩量||回调缩量||阴线,17,600057,600057,600057.SS,厦门象屿,看跌,看涨,中性,中性,中性,1,建议观望或卖出,,暂无数据,暂无数据
601169.SH,北京银行,5.82,-0.851788756,5.81,0.171,5.638999999999999,横盘,wr超卖,缩量||价跌量缩||回调缩量,5.85,5.86,5.82,rsi金叉||月线kdj金叉,缩量||价跌量缩||回调缩量,17,601169,601169,601169.SS,北京银行,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
601997.SH,贵阳银行,5.75,-0.346620451,5.73,0.174,5.556,横盘,wr超卖||周线mtm金叉,缩量||价跌量缩||回调缩量,5.78,5.78,5.74,cr金叉||dma金叉||周线skdj金叉,缩量||价跌量缩||回调缩量,17,601997,601997,601997.SS,贵阳银行,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
601077.SH,渝农商行,5.53,-0.180505415,5.51,0.181,5.329,横盘,wr超卖||rsi底背离||周线wr超卖,缩量||价跌量缩||回调缩量,5.54,5.55,5.54,wr超卖||周线wr超卖,放量||阴线||价跌量升,17,601077,601077,601077.SS,渝农商行,看跌,看跌,中性,中性,中性,0,建议观望或卖出,,暂无数据,暂无数据
